4,11
4,10
5,10
6,10
7,10
6,11
6,9
8,10
6,12
6,8
9,10
6,13
6,7
10,10
6,14
6,6
11,10
6,15
6,5
12,10
6,16
7,5
6,4
13,10
6,17
8,5
6,3
14,10
13,11
13,9
6,18
9,5
5,3
6,2
15,10
13,12
13,8
6,19
10,5
4,3
4,21
5,21
6,21
6,22
6,20
6,23
6,24
5,24
7,24
6,25
4,24
8,24
6,26
9,24
6,27
10,24
6,28
11,24
6,29
12,24
5,29
7,29
6,30
13,24
4,29
8,29
6,31
14,24
13,23
4,28
9,29
6,32
15,24
13,22
4,27
10,29
6,33
16,24
13,21
11,29
10,30
6,34
17,24
13,20
12,29
10,31
6,35
18,24
13,19
13,29
6,36
19,24
12,19
14,19
13,18
14,29
13,30
6,37
20,24
11,19
15,19
13,17
15,29
13,31
6,38
21,24
10,19
16,19
13,16
16,29
13,32
5,38
7,38
6,39
21,25
21,23
9,19
17,19
13,15
17,29
13,33
4,38
8,38
6,40
21,26
21,22
8,19
18,19
13,14
18,29
17,30
13,34
9,38
6,41
21,27
22,22
21,21
7,19
19,19
14,14
13,13
19,29
17,31
13,35
10,38
6,42
21,28
23,22
21,20
20,19
15,14
20,29
13,36
11,38
10,37
7,42
6,43
21,29
24,22
21,19
21,19
16,14
21,29
13,37
12,38
10,36
8,42
6,44
22,29
21,30
25,22
22,19
21,18
22,19
21,18
17,14
22,29
21,30
13,38
13,38
9,42
6,45
23,29
21,31
26,22
23,19
21,17
23,19
21,17
18,14
17,15
23,29
21,31
13,39
13,39
10,42
7,45
6,46
24,29
21,32
27,22
24,19
21,16
24,19
21,16
19,14
24,29
21,32
13,40
13,40
11,42
10,43
8,45
6,47
25,29
21,33
28,22
25,19
21,15
25,19
21,15
20,14
25,29
21,33
13,41
13,41
12,42
10,44
9,45
5,47
6,48
26,29
21,34
29,22
26,19
21,14
26,19
21,14
21,14
26,29
21,34
13,42
13,42
13,42
10,45
10,45
4,47
6,49
27,29
22,34
21,35
30,22
29,21
27,19
22,14
21,13
27,19
22,14
21,13
22,14
21,13
27,29
22,34
21,35
14,42
13,43
14,42
13,43
14,42
13,43
11,45
11,45
7,49
28,29
23,34
21,36
31,22
29,20
28,19
23,14
21,12
28,19
23,14
21,12
23,14
21,12
28,29
23,34
21,36
15,42
13,44
15,42
13,44
15,42
13,44
12,45
12,45
8,49
29,29
24,34
21,37
32,22
29,19
29,19
24,14
21,11
29,19
24,14
21,11
24,14
21,11
29,29
24,34
21,37
16,42
13,45
16,42
13,45
16,42
13,45
13,45
13,45
9,49
30,29
29,28
25,34
21,38
33,22
30,19
30,19
25,14
21,10
30,19
25,14
21,10
25,14
21,10
30,29
29,28
25,34
21,38
17,42
14,45
13,46
17,42
14,45
13,46
17,42
14,45
13,46
14,45
13,46
14,45
13,46
10,49
9,48
31,29
29,27
26,34
20,38
21,39
34,22
31,19
31,19
26,14
20,10
22,10
21,9
31,19
26,14
20,10
22,10
21,9
26,14
20,10
22,10
21,9
31,29
29,27
26,34
20,38
21,39
17,43
15,45
13,47
17,43
15,45
13,47
17,43
15,45
13,47
15,45
13,47
15,45
13,47
11,49
10,50
9,47
32,29
29,26
27,34
19,38
22,39
21,40
35,22
32,19
32,19
27,14
19,10
23,10
21,8
32,19
27,14
19,10
23,10
21,8
27,14
19,10
23,10
21,8
32,29
29,26
27,34
19,38
22,39
21,40
17,44
16,45
14,47
13,48
17,44
16,45
14,47
13,48
17,44
16,45
14,47
13,48
16,45
14,47
13,48
16,45
14,47
13,48
12,49
10,51
33,29
28,34
18,38
23,39
21,41
36,22
33,19
33,19
28,14
18,10
24,10
21,7
33,19
28,14
18,10
24,10
21,7
28,14
18,10
24,10
21,7
33,29
28,34
18,38
23,39
21,41
17,45
17,45
15,47
13,49
17,45
17,45
15,47
13,49
17,45
17,45
15,47
13,49
17,45
15,47
13,49
17,45
15,47
13,49
13,49
10,52
34,29
29,34
17,38
24,39
21,42
37,22
34,19
34,19
29,14
17,10
25,10
21,6
34,19
29,14
17,10
25,10
21,6
29,14
17,10
25,10
21,6
34,29
29,34
17,38
24,39
21,42
18,45
18,45
16,47
14,49
13,50
18,45
18,45
16,47
14,49
13,50
18,45
18,45
16,47
14,49
13,50
18,45
16,47
14,49
13,50
18,45
16,47
14,49
13,50
14,49
13,50
10,53
35,29
30,34
17,37
25,39
21,43
37,23
37,21
35,19
35,19
30,14
16,10
26,10
21,5
35,19
30,14
16,10
26,10
21,5
30,14
16,10
26,10
21,5
35,29
30,34
17,37
25,39
21,43
19,45
19,45
17,47
15,49
13,51
19,45
19,45
17,47
15,49
13,51
19,45
19,45
17,47
15,49
13,51
19,45
17,47
15,49
13,51
19,45
17,47
15,49
13,51
15,49
13,51
9,53
11,53
36,29
31,34
17,36
26,39
21,44
37,24
37,20
36,19
36,19
31,14
27,10
20,5
22,5
21,4
36,19
31,14
27,10
20,5
22,5
21,4
31,14
27,10
20,5
22,5
21,4
36,29
31,34
17,36
26,39
21,44
20,45
20,45
18,47
16,49
12,51
13,52
20,45
20,45
18,47
16,49
12,51
13,52
20,45
20,45
18,47
16,49
12,51
13,52
20,45
18,47
16,49
12,51
13,52
20,45
18,47
16,49
12,51
13,52
16,49
12,51
13,52
8,53
12,53
11,54
37,29
32,34
27,39
21,45
38,24
37,25
37,19
37,19
37,19
32,14
28,10
19,5
23,5
21,3
37,19
32,14
28,10
19,5
23,5
21,3
32,14
28,10
19,5
23,5
21,3
37,29
32,34
27,39
21,45
21,45
21,45
19,47
17,49
12,52
12,52
13,53
21,45
21,45
19,47
17,49
12,52
12,52
13,53
21,45
21,45
19,47
17,49
12,52
12,52
13,53
21,45
19,47
17,49
12,52
12,52
13,53
21,45
19,47
17,49
12,52
12,52
13,53
17,49
12,52
12,52
13,53
7,53
13,53
12,52
11,55
38,29
37,30
37,28
28,39
22,45
21,46
39,24
37,26
38,19
37,18
38,19
37,18
38,19
37,18
33,14
29,10
18,5
24,5
21,2
38,19
37,18
33,14
29,10
18,5
24,5
21,2
33,14
29,10
18,5
24,5
21,2
38,29
37,30
37,28
28,39
22,45
21,46
22,45
21,46
22,45
21,46
20,47
18,49
17,50
14,53
13,54
22,45
21,46
22,45
21,46
20,47
18,49
17,50
14,53
13,54
22,45
21,46
22,45
21,46
20,47
18,49
17,50
